Model,Parameters,Train Accuracy,Test Accuracy
LinearSVC,"{'C': 0.5, 'max_iter': 1000, 'loss': 'hinge'}",0.9855,0.848
LinearSVC,"{'C': 0.5, 'max_iter': 1000, 'loss': 'squared_hinge'}",0.998,0.8395
LinearSVC,"{'C': 0.5, 'max_iter': 100, 'loss': 'hinge'}",0.9855,0.848
LinearSVC,"{'C': 0.5, 'max_iter': 100, 'loss': 'squared_hinge'}",0.998,0.8395
LinearSVC,"{'C': 0.5, 'max_iter': 10000, 'loss': 'hinge'}",0.9855,0.848
LinearSVC,"{'C': 0.5, 'max_iter': 10000, 'loss': 'squared_hinge'}",0.998,0.8395
LinearSVC,"{'C': 1.0, 'max_iter': 1000, 'loss': 'hinge'}",0.997,0.821
LinearSVC,"{'C': 1.0, 'max_iter': 1000, 'loss': 'squared_hinge'}",1.0,0.8245
LinearSVC,"{'C': 1.0, 'max_iter': 100, 'loss': 'hinge'}",0.997,0.821
LinearSVC,"{'C': 1.0, 'max_iter': 100, 'loss': 'squared_hinge'}",1.0,0.8245
LinearSVC,"{'C': 1.0, 'max_iter': 10000, 'loss': 'hinge'}",0.997,0.8205
LinearSVC,"{'C': 1.0, 'max_iter': 10000, 'loss': 'squared_hinge'}",1.0,0.8245
LinearSVC,"{'C': 2.0, 'max_iter': 1000, 'loss': 'hinge'}",0.9995,0.8095
LinearSVC,"{'C': 2.0, 'max_iter': 1000, 'loss': 'squared_hinge'}",1.0,0.8165
LinearSVC,"{'C': 2.0, 'max_iter': 100, 'loss': 'hinge'}",0.9995,0.8095
LinearSVC,"{'C': 2.0, 'max_iter': 100, 'loss': 'squared_hinge'}",1.0,0.8165
LinearSVC,"{'C': 2.0, 'max_iter': 10000, 'loss': 'hinge'}",0.9995,0.8095
LinearSVC,"{'C': 2.0, 'max_iter': 10000, 'loss': 'squared_hinge'}",1.0,0.8165
Random Forest,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 2}",0.9035,0.797
Random Forest,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 5}",0.881,0.7785
Random Forest,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 10}",0.8685,0.78
Random Forest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2}",0.945,0.819
Random Forest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5}",0.9315,0.813
Random Forest,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 10}",0.9345,0.8185
Random Forest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2}",1.0,0.836
Random Forest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5}",1.0,0.8295
Random Forest,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 10}",1.0,0.8325
Random Forest,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2}",0.909,0.8135
Random Forest,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 5}",0.92,0.815
Random Forest,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 10}",0.9135,0.809
Random Forest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2}",0.955,0.829
Random Forest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5}",0.954,0.8385
Random Forest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10}",0.953,0.836
Random Forest,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2}",1.0,0.834
Random Forest,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5}",1.0,0.8355
